,ta,tw
1994-04-07,-1.592,
1994-04-08,1.325,
1994-04-09,2.517,
1994-04-10,2.392,
1994-04-11,4.471,
1994-04-12,4.104,
1994-04-13,2.033,
1994-04-14,4.896,
1994-04-15,3.967,
1994-04-16,-0.171,
1994-04-17,2.663,
1994-04-18,7.571,
1994-04-19,3.817,
1994-04-20,1.525,
1994-04-21,1.092,
1994-04-22,2.925,
1994-04-23,8.617,
1994-04-24,8.442,
1994-04-25,1.142,
1994-04-26,1.754,
1994-04-27,-1.129,
1994-04-28,-1.279,
1994-04-29,0.412,
1994-04-30,1.833,
1994-05-01,1.962,
1994-05-02,5.242,
1994-05-03,8.783,
1994-05-04,7.737,
1994-05-05,4.483,
1994-05-06,2.058,
1994-05-07,3.954,
1994-05-08,8.787,
1994-05-09,6.375,
1994-05-10,5.542,
1994-05-11,4.971,
1994-05-12,3.896,
1994-05-13,6.242,
1994-05-14,8.996,
1994-05-15,6.571,
1994-05-16,2.438,
1994-05-17,3.704,
1994-05-18,4.996,
1994-05-19,7.388,
1994-05-20,12.717,
1994-05-21,12.617,
1994-05-22,12.592,
1994-05-23,9.463,
1994-05-24,6.937,
1994-05-25,3.658,
1994-05-26,3.242,
1994-05-27,6.329,
1994-05-28,10.154,
1994-05-29,12.071,
1994-05-30,8.1,
1994-05-31,9.891,
1994-06-01,5.163,
1994-06-02,6.746,
1994-06-03,9.579,
1994-06-04,13.338,
1994-06-05,14.875,
1994-06-06,8.308,
1994-06-07,5.504,
1994-06-08,5.917,
1994-06-09,9.504,
1994-06-10,12.288,
1994-06-11,14.1,
1994-06-12,12.096,
1994-06-13,13.8,
1994-06-14,11.367,
1994-06-15,17.508,
1994-06-16,9.792,
1994-06-17,9.167,
1994-06-18,12.217,
1994-06-19,10.125,
1994-06-20,15.258,
1994-06-21,17.654,
1994-06-22,15.617,
1994-06-23,15.417,
1994-06-24,12.688,
1994-06-25,11.354,
1994-06-26,13.617,
1994-06-27,11.854,
1994-06-28,13.987,
1994-06-29,8.983,
1994-06-30,7.025,
1994-07-01,12.137,
1994-07-02,10.512,
1994-07-03,12.375,
1994-07-04,12.604,
1994-07-05,12.826,
1994-07-06,10.15,
1994-07-07,8.487,
1994-07-08,14.821,
1994-07-09,10.567,
1994-07-10,12.304,
1994-07-11,15.463,
1994-07-12,15.492,
1994-07-13,8.679,
1994-07-14,9.392,
1994-07-15,10.317,
1994-07-16,12.425,
1994-07-17,14.221,
1994-07-18,14.646,
1994-07-19,16.443,
1994-07-20,17.845,
1994-07-21,19.091,
1994-07-22,12.142,
1994-07-23,16.608,
1994-07-24,16.421,
1994-07-25,14.45,
1994-07-26,13.329,
1994-07-27,13.071,
1994-07-28,16.612,
1994-07-29,15.112,
1994-07-30,15.754,
1994-07-31,19.596,
1994-08-01,14.067,
1994-08-02,12.721,
1994-08-03,17.254,
1994-08-04,10.796,
1994-08-05,13.471,
1994-08-06,15.475,
1994-08-07,15.158,
1994-08-08,12.25,
1994-08-09,10.529,
1994-08-10,11.888,
1994-08-11,13.538,
1994-08-12,15.942,
1994-08-13,17.163,
1994-08-14,12.037,
1994-08-15,14.021,
1994-08-16,17.671,
1994-08-17,14.129,
1994-08-18,11.113,
1994-08-19,16.129,
1994-08-20,12.529,
1994-08-21,15.508,
1994-08-22,14.292,
1994-08-23,16.338,
1994-08-24,17.508,
1994-08-25,19.963,
1994-08-26,17.692,
1994-08-27,17.675,
1994-08-28,15.704,
1994-08-29,13.113,
1994-08-30,11.754,
1994-08-31,9.396,
1994-09-01,11.254,
1994-09-02,11.55,
1994-09-03,10.358,
1994-09-04,12.654,
1994-09-05,12.854,
1994-09-06,14.8,
1994-09-07,15.133,
1994-09-08,15.479,
1994-09-09,11.971,
1994-09-10,11.077,
1994-09-11,14.921,
1994-09-12,18.854,
1994-09-13,16.617,
1994-09-14,14.025,
1994-09-15,15.971,
1994-09-16,19.261,
1994-09-17,14.658,
1994-09-18,15.579,
1994-09-19,16.104,
1994-09-20,18.392,
1994-09-21,17.554,
1994-09-22,16.533,
1994-09-23,16.613,
1994-09-24,15.317,
1994-09-25,11.992,
1994-09-26,7.283,
1994-09-27,9.742,
1994-09-28,9.471,
1994-09-29,9.555,
1994-09-30,10.046,
1994-10-01,8.746,
1994-10-02,8.974,
1994-10-03,7.392,
1994-10-04,6.792,
1994-10-05,8.687,
1994-10-06,12.913,
1994-10-07,14.713,
1994-10-08,11.904,
1994-10-09,5.688,
1994-10-10,7.483,
1994-10-11,10.683,
1994-10-12,11.817,
1994-10-13,10.692,
1994-10-14,8.758,
1994-10-15,9.754,
1994-10-16,11.062,
1994-10-17,12.15,
1994-10-18,13.6,
1994-10-19,13.604,
1994-10-20,10.588,
1994-10-21,9.952,
1994-10-22,11.9,
1994-10-23,8.725,
1994-10-24,5.35,
1994-10-25,4.533,9.04
1994-10-26,4.438,8.87
1994-10-27,7.765,8.87
1994-10-28,10.422,8.88
1994-10-29,10.37,7.9
1994-10-30,9.992,8.31
1994-10-31,7.067,8.72
1994-11-01,5.188,7.64
1994-11-02,5.967,7.64
1994-11-03,8.008,7.65
1994-11-04,5.325,7.65
1994-11-05,4.917,7.65
1994-11-06,5.379,7.91
1994-11-07,7.267,7.91
1994-11-08,8.621,7.91
1994-11-09,6.9,7.6
1994-11-10,5.486,7.7
1994-11-11,6.492,5.14
1994-11-12,7.675,5.25
1994-11-13,8.15,6.07
1994-11-14,9.629,6.07
1994-11-15,5.348,7.14
1994-11-16,6.517,7.14
1994-11-17,6.987,7.15
1994-11-18,7.463,7.1
1994-11-19,3.117,7.1
1994-11-20,4.275,5.98
1994-11-21,5.9,5.98
1994-11-22,-1.521,5.91
1994-11-23,-4.821,5.89
1994-11-24,1.387,5.32
1994-11-25,0.271,5.26
1994-11-26,-3.133,5.19
1994-11-27,-0.625,5.19
1994-11-28,0.475,5.19
1994-11-29,-3.004,5.08
1994-11-30,-1.033,5.08
1994-12-01,1.696,4.5
1994-12-02,5.133,4.82
1994-12-03,3.979,4.81
1994-12-04,4.409,4.81
1994-12-05,1.254,4.81
1994-12-06,-5.392,4.81
1994-12-07,-5.521,4.81
1994-12-08,-3.479,4.81
1994-12-09,-0.617,4.74
1994-12-10,0.175,4.63
1994-12-11,-9.287,4.63
1994-12-12,-5.671,4.63
1994-12-13,-2.717,4.57
1994-12-14,-2.017,4.45
1994-12-15,0.288,4.44
1994-12-16,1.417,4.44
1994-12-17,1.658,4.44
1994-12-18,-0.442,4.44
1994-12-19,-0.629,4.45
1994-12-20,2.158,3.09
1994-12-21,4.737,3.73
1994-12-22,4.492,4.4
1994-12-23,3.283,3.4
1994-12-24,4.0,3.06
1994-12-25,2.833,4.11
1994-12-26,3.379,4.07
1994-12-27,4.246,3.72
1994-12-28,0.296,3.72
1994-12-29,-5.096,3.33
1994-12-30,-0.896,3.33
1994-12-31,-2.05,3.29
1995-01-01,-4.575,3.3
1995-01-02,-6.742,3.3
1995-01-03,-10.683,3.3
1995-01-04,-14.55,3.3
1995-01-05,-6.121,3.37
1995-01-06,-3.583,3.37
1995-01-07,-8.733,3.31
1995-01-08,-8.8,3.31
1995-01-09,-11.721,3.29
1995-01-10,-10.048,3.29
1995-01-11,-3.267,3.29
1995-01-12,1.296,3.3
1995-01-13,0.433,3.3
1995-01-14,-1.6,3.3
1995-01-15,-4.9,3.3
1995-01-16,-4.262,3.3
1995-01-17,-1.512,3.17
1995-01-18,0.671,3.17
1995-01-19,-1.863,2.41
1995-01-20,-2.854,2.42
1995-01-21,-4.365,2.42
1995-01-22,-4.721,2.42
1995-01-23,-4.213,2.42
1995-01-24,-4.392,2.42
1995-01-25,-4.921,2.22
1995-01-26,-4.767,2.44
1995-01-27,-3.817,2.5
1995-01-28,-6.225,2.13
1995-01-29,-3.225,2.13
1995-01-30,-1.254,2.14
1995-01-31,0.621,2.21
1995-02-01,-2.538,2.21
1995-02-02,-5.329,2.31
1995-02-03,-2.291,2.31
1995-02-04,-10.1,2.31
1995-02-05,-15.267,2.31
1995-02-06,-11.504,2.24
1995-02-07,-10.992,2.24
1995-02-08,-10.142,2.24
1995-02-09,-5.3,2.22
1995-02-10,-4.183,2.17
1995-02-11,-17.23,2.17
1995-02-12,-11.75,2.17
1995-02-13,-11.078,2.17
1995-02-14,-9.679,2.17
1995-02-15,-4.738,2.17
1995-02-16,-7.304,2.17
1995-02-17,-5.258,2.17
1995-02-18,-1.342,2.17
1995-02-19,-1.217,2.17
1995-02-20,-1.296,2.17
1995-02-21,-7.962,2.12
1995-02-22,-2.875,2.12
1995-02-23,-1.363,2.12
1995-02-24,-8.817,2.12
1995-02-25,-10.333,2.02
1995-02-26,-9.267,2.02
1995-02-27,-4.867,2.02
1995-02-28,-7.963,2.02
1995-03-01,-10.517,2.02
1995-03-02,-11.154,1.94
1995-03-03,-5.079,1.94
1995-03-04,-5.983,1.89
1995-03-05,-6.267,1.89
1995-03-06,-8.652,1.89
1995-03-07,-6.186,1.89
1995-03-08,-9.487,1.9
1995-03-09,-9.354,1.8
1995-03-10,-3.304,1.8
1995-03-11,1.725,1.76
1995-03-12,6.042,1.64
1995-03-13,8.529,1.94
1995-03-14,9.821,1.94
1995-03-15,5.733,0.58
1995-03-16,0.3,0.61
1995-03-17,-1.478,0.65
1995-03-18,-0.267,0.65
1995-03-19,0.942,0.65
1995-03-20,1.162,0.65
1995-03-21,0.673,0.65
1995-03-22,-0.096,0.65
1995-03-23,-0.846,1.32
1995-03-24,1.071,1.64
1995-03-25,0.442,1.65
1995-03-26,1.209,0.08
1995-03-27,1.237,0.65
1995-03-28,1.712,1.68
1995-03-29,-1.529,1.52
1995-03-30,-2.271,0.54
1995-03-31,-1.062,0.35
1995-04-01,-0.317,0.4
1995-04-02,0.608,0.85
1995-04-03,2.604,1.08
1995-04-04,-11.852,1.08
1995-04-05,-6.954,1.03
1995-04-06,-1.788,0.97
1995-04-07,-0.213,0.78
1995-04-08,-0.338,1.65
1995-04-09,-3.967,0.3
1995-04-10,-0.121,0.94
1995-04-11,1.767,0.94
1995-04-12,3.45,0.93
1995-04-13,1.779,0.9
1995-04-14,0.325,0.94
1995-04-15,0.33,0.89
1995-04-16,1.033,1.18
1995-04-17,2.529,2.22
1995-04-18,2.022,2.23
1995-04-19,1.225,0.83
1995-04-20,2.775,1.3
1995-04-21,3.125,1.3
1995-04-22,2.754,1.19
1995-04-23,1.738,1.1
1995-04-24,1.638,1.1
1995-04-25,1.508,0.74
1995-04-26,1.963,0.77
1995-04-27,3.521,0.76
1995-04-28,3.683,0.79
1995-04-29,3.712,1.2
1995-04-30,3.609,1.19
1995-05-01,3.813,1.19
1995-05-02,4.77,1.41
1995-05-03,6.863,1.26
1995-05-04,7.733,1.13
1995-05-05,4.5,1.35
1995-05-06,6.365,1.76
1995-05-07,5.879,1.76
1995-05-08,6.033,1.6
1995-05-09,5.446,1.6
1995-05-10,5.529,1.6
1995-05-11,7.479,1.88
1995-05-12,12.75,2.51
1995-05-13,10.033,2.52
1995-05-14,6.888,2.44
1995-05-15,6.229,1.74
1995-05-16,5.392,1.83
1995-05-17,6.133,1.86
1995-05-18,7.496,2.53
1995-05-19,8.029,2.47
1995-05-20,7.108,2.43
1995-05-21,5.737,2.43
1995-05-22,8.446,2.68
1995-05-23,7.017,2.65
1995-05-24,4.521,2.34
1995-05-25,4.954,2.37
1995-05-26,7.242,2.98
1995-05-27,9.888,2.98
1995-05-28,7.362,2.99
1995-05-29,8.267,3.48
1995-05-30,18.788,3.12
1995-05-31,19.846,3.39
1995-06-01,17.642,2.61
1995-06-02,11.208,3.88
1995-06-03,9.175,3.88
1995-06-04,11.217,3.92
1995-06-05,12.983,4.17
1995-06-06,16.925,4.17
1995-06-07,7.795,4.17
1995-06-08,4.292,3.87
1995-06-09,6.53,3.8
1995-06-10,7.8,3.81
1995-06-11,8.048,3.92
1995-06-12,12.787,4.15
1995-06-13,14.55,4.15
1995-06-14,8.45,4.18
1995-06-15,17.191,3.6
1995-06-16,19.392,4.66
1995-06-17,22.087,8.31
1995-06-18,21.425,7.12
1995-06-19,24.133,7.55
1995-06-20,15.992,6.81
1995-06-21,14.183,7.44
1995-06-22,17.779,7.93
1995-06-23,21.246,9.78
1995-06-24,17.317,10.45
1995-06-25,11.292,10.35
1995-06-26,11.388,9.98
1995-06-27,14.508,9.98
1995-06-28,14.379,10.02
1995-06-29,14.595,10.02
1995-06-30,12.887,10.02
1995-07-01,10.088,10.02
1995-07-02,11.5,9.74
1995-07-03,15.338,9.73
1995-07-04,16.557,6.39
1995-07-05,17.371,6.39
1995-07-06,15.03,6.46
1995-07-07,9.883,5.47
1995-07-08,11.696,5.62
1995-07-09,13.087,6.93
1995-07-10,16.196,6.91
1995-07-11,14.546,6.9
1995-07-12,18.67,6.9
1995-07-13,19.721,7.0
1995-07-14,12.437,7.37
1995-07-15,11.079,9.0
1995-07-16,11.567,9.0
1995-07-17,12.433,8.98
1995-07-18,13.021,8.84
1995-07-19,16.004,8.84
1995-07-20,12.629,9.65
1995-07-21,16.254,9.79
1995-07-22,18.483,10.42
1995-07-23,16.662,12.48
1995-07-24,19.354,13.68
1995-07-25,14.608,14.08
1995-07-26,16.471,15.64
1995-07-27,17.292,13.73
1995-07-28,20.346,14.25
1995-07-29,19.233,12.16
1995-07-30,20.317,13.87
1995-07-31,21.939,13.61
1995-08-01,13.983,13.86
1995-08-02,16.646,14.41
1995-08-03,19.429,16.63
1995-08-04,15.621,16.31
1995-08-05,15.412,16.31
1995-08-06,16.321,16.14
1995-08-07,19.592,16.14
1995-08-08,19.554,16.87
1995-08-09,20.583,16.89
1995-08-10,21.429,16.93
1995-08-11,21.683,16.76
1995-08-12,18.204,17.01
1995-08-13,18.158,18.49
1995-08-14,20.937,16.12
1995-08-15,21.192,16.33
1995-08-16,22.283,17.14
1995-08-17,20.786,17.14
1995-08-18,21.129,17.18
1995-08-19,21.883,17.18
1995-08-20,21.062,17.09
1995-08-21,20.542,16.11
1995-08-22,17.908,16.58
1995-08-23,19.762,16.44
1995-08-24,15.321,16.47
1995-08-25,16.135,16.23
1995-08-26,17.146,17.05
1995-08-27,16.617,15.73
1995-08-28,18.354,16.58
1995-08-29,17.146,16.91
1995-08-30,18.5,16.85
1995-08-31,18.746,15.92
1995-09-01,16.733,16.84
1995-09-02,16.992,17.11
1995-09-03,16.1,16.71
1995-09-04,18.358,17.15
1995-09-05,17.662,16.75
1995-09-06,18.167,16.72
1995-09-07,9.791,13.59
1995-09-08,11.15,13.14
1995-09-09,10.754,12.99
1995-09-10,9.804,13.12
1995-09-11,15.067,13.18
1995-09-12,16.562,13.3
1995-09-13,16.633,13.54
1995-09-14,9.688,13.54
1995-09-15,11.246,12.56
1995-09-16,14.646,12.8
1995-09-17,10.321,12.81
1995-09-18,12.154,13.34
1995-09-19,10.704,13.34
1995-09-20,7.85,13.04
1995-09-21,8.283,12.84
1995-09-22,5.883,12.84
1995-09-23,7.308,11.76
1995-09-24,10.565,11.74
1995-09-25,10.267,11.68
1995-09-26,11.196,11.12
1995-09-27,11.154,11.87
1995-09-28,11.813,11.37
1995-09-29,15.074,11.31
1995-09-30,14.983,11.31
1995-10-01,15.021,11.31
1995-10-02,6.554,11.32
1995-10-03,7.783,11.32
1995-10-04,10.326,10.55
1995-10-05,8.783,10.48
1995-10-06,8.429,10.51
1995-10-07,7.604,10.51
1995-10-08,7.921,9.15
1995-10-09,9.108,9.19
1995-10-10,10.421,10.06
1995-10-11,14.679,9.73
1995-10-12,17.854,10.03
1995-10-13,17.496,9.87
1995-10-14,9.979,9.88
1995-10-15,5.154,9.82
1995-10-16,5.525,9.22
1995-10-17,9.787,8.45
1995-10-18,7.671,8.09
1995-10-19,7.275,8.09
1995-10-20,7.188,8.09
1995-10-21,5.679,8.09
1995-10-22,5.237,8.09
1995-10-23,5.483,8.1
1995-10-24,6.408,8.1
1995-10-25,5.262,7.92
1995-10-26,7.3,6.98
1995-10-27,6.646,6.98
1995-10-28,3.988,6.98
1995-10-29,3.5,6.98
1995-10-30,0.767,6.98
1995-10-31,2.3,6.95
1995-11-01,3.417,6.95
1995-11-02,3.067,6.95
1995-11-03,-0.183,6.95
1995-11-04,-2.575,6.92
1995-11-05,1.079,5.96
1995-11-06,4.104,5.95
1995-11-07,1.729,5.96
1995-11-08,-5.346,5.96
1995-11-09,-3.517,5.96
1995-11-10,2.45,5.96
1995-11-11,-3.317,5.96
1995-11-12,-6.012,5.96
1995-11-13,-4.337,5.9
1995-11-14,-2.925,5.83
1995-11-15,-2.054,5.24
1995-11-16,-1.742,5.24
1995-11-17,-1.371,5.24
1995-11-18,0.85,5.24
1995-11-19,2.296,5.24
1995-11-20,2.629,5.26
1995-11-21,-2.454,5.26
1995-11-22,-4.125,5.26
1995-11-23,-7.86,5.2
1995-11-24,-7.529,5.2
1995-11-25,-3.463,5.2
1995-11-26,-4.188,5.08
1995-11-27,-3.67,5.08
1995-11-28,-6.529,5.08
1995-11-29,-4.433,5.08
1995-11-30,-2.121,5.08
1995-12-01,-1.058,5.05
1995-12-02,-3.129,5.05
1995-12-03,1.15,5.05
1995-12-04,-0.704,4.94
1995-12-05,-0.292,4.94
1995-12-06,-9.987,4.94
1995-12-07,-9.579,4.94
1995-12-08,-5.096,4.95
1995-12-09,-5.083,4.95
1995-12-10,-9.567,4.95
1995-12-11,-14.126,4.95
1995-12-12,-12.312,4.95
1995-12-13,-8.146,4.95
1995-12-14,-2.183,4.95
1995-12-15,-1.678,4.95
1995-12-16,-5.537,4.63
1995-12-17,-3.133,4.63
1995-12-18,-0.829,4.63
1995-12-19,-3.483,4.63
1995-12-20,-6.013,4.63
1995-12-21,-4.617,4.64
1995-12-22,-2.817,4.4
1995-12-23,-1.488,2.45
1995-12-24,-2.129,2.46
1995-12-25,-8.158,2.48
1995-12-26,-7.829,2.44
1995-12-27,-6.404,2.28
1995-12-28,-4.87,2.28
1995-12-29,-2.483,2.1
1995-12-30,-1.971,2.11
1995-12-31,-0.679,2.11
1996-01-01,-4.486,2.11
1996-01-02,-8.958,1.52
1996-01-03,-8.278,1.54
1996-01-04,-11.333,1.54
1996-01-05,-11.158,1.5
1996-01-06,-11.217,1.5
1996-01-07,-9.258,1.53
1996-01-08,-5.108,1.54
1996-01-09,-4.908,1.52
1996-01-10,-6.729,1.52
1996-01-11,-2.729,1.52
1996-01-12,-0.425,1.52
1996-01-13,-6.724,1.36
1996-01-14,-4.862,1.36
1996-01-15,-12.004,1.37
1996-01-16,-5.442,1.37
1996-01-17,-2.629,1.37
1996-01-18,-3.0,1.37
1996-01-19,-13.888,1.37
1996-01-20,-13.77,1.37
1996-01-21,-8.533,1.37
1996-01-22,-4.862,1.3
1996-01-23,-10.591,1.3
1996-01-24,-10.15,1.3
1996-01-25,-11.754,1.3
1996-01-26,-8.625,1.3
1996-01-27,-6.075,1.3
1996-01-28,-9.909,1.3
1996-01-29,-5.367,1.3
1996-01-30,-16.05,1.3
1996-01-31,-17.863,1.3
1996-02-01,-17.854,1.3
1996-02-02,-23.842,1.3
1996-02-03,-21.667,1.3
1996-02-04,-18.475,1.3
1996-02-05,-14.179,1.3
1996-02-06,-9.967,1.3
1996-02-07,-1.804,1.3
1996-02-08,1.833,1.3
1996-02-09,-1.348,1.3
1996-02-10,0.086,1.3
1996-02-11,-5.083,1.3
1996-02-12,-10.358,1.3
1996-02-13,-7.671,1.3
1996-02-14,-5.796,1.2
1996-02-15,-6.779,1.2
1996-02-16,-9.004,1.2
1996-02-17,-9.929,1.2
1996-02-18,-13.575,1.2
1996-02-19,-6.561,1.2
1996-02-20,-1.783,1.2
1996-02-21,-6.671,0.98
1996-02-22,-3.129,0.93
1996-02-23,-1.395,0.93
1996-02-24,0.767,0.89
1996-02-25,-2.921,0.71
1996-02-26,-7.917,0.71
1996-02-27,-4.675,0.71
1996-02-28,-9.979,0.71
1996-02-29,-11.404,0.71
1996-03-01,-9.283,0.71
1996-03-02,-9.85,0.71
1996-03-03,-12.692,0.71
1996-03-04,-10.604,0.71
1996-03-05,-11.817,0.71
1996-03-06,-15.117,0.71
1996-03-07,-14.867,0.71
1996-03-08,-15.117,0.71
1996-03-09,-8.679,0.71
1996-03-10,-5.325,0.71
1996-03-11,0.217,0.71
1996-03-12,2.321,0.71
1996-03-13,4.15,0.66
1996-03-14,0.583,0.63
1996-03-15,-5.242,0.63
1996-03-16,-5.521,0.63
1996-03-17,-2.767,0.63
1996-03-18,-0.465,0.63
1996-03-19,-2.833,0.63
1996-03-20,-6.479,0.63
1996-03-21,-7.557,0.25
1996-03-22,-4.575,0.14
1996-03-23,-2.654,0.05
1996-03-24,-2.738,0.14
1996-03-25,-4.854,0.14
1996-03-26,-12.192,0.14
1996-03-27,-10.292,0.14
1996-03-28,-2.357,0.14
1996-03-29,-2.267,0.14
1996-03-30,-1.848,0.14
1996-03-31,-1.096,0.14
1996-04-01,-2.843,0.13
1996-04-02,-3.525,0.13
1996-04-03,-3.879,0.13
1996-04-04,-2.767,0.13
1996-04-05,-2.75,0.13
1996-04-06,-2.946,0.12
1996-04-07,-3.15,0.11
1996-04-08,-2.796,0.11
1996-04-09,-0.121,0.33
1996-04-10,4.129,0.15
1996-04-11,5.525,0.15
1996-04-12,-0.967,0.15
1996-04-13,-1.562,0.15
1996-04-14,-0.488,0.19
1996-04-15,-0.2,0.19
1996-04-16,0.454,0.04
1996-04-17,2.883,0.52
1996-04-18,3.679,0.98
1996-04-19,4.983,0.98
1996-04-20,2.237,0.98
1996-04-21,2.257,0.0
1996-04-22,2.742,0.08
1996-04-23,0.383,0.08
1996-04-24,0.246,0.1
1996-04-25,-0.08,0.1
1996-04-26,-2.958,0.1
1996-04-27,-0.196,0.54
1996-04-28,2.504,0.55
1996-04-29,3.387,0.39
1996-04-30,0.375,0.39
1996-05-01,-1.696,0.39
1996-05-02,1.388,0.33
1996-05-03,0.996,0.2
1996-05-04,1.883,0.43
1996-05-05,2.217,0.43
1996-05-06,3.113,0.74
1996-05-07,4.821,0.71
1996-05-08,4.917,0.71
1996-05-09,7.492,1.12
1996-05-10,1.742,0.58
1996-05-11,1.587,0.18
1996-05-12,2.263,0.65
1996-05-13,5.139,0.69
1996-05-14,6.754,0.55
1996-05-15,5.8,0.55
1996-05-16,6.825,0.55
1996-05-17,3.921,0.55
1996-05-18,9.757,1.56
1996-05-19,14.954,1.56
1996-05-20,11.37,0.61
1996-05-21,9.379,1.25
1996-05-22,6.221,1.25
1996-05-23,4.671,1.35
1996-05-24,5.262,1.55
1996-05-25,7.792,1.25
1996-05-26,8.592,1.55
1996-05-27,9.33,0.95
1996-05-28,6.942,1.22
1996-05-29,4.262,1.66
1996-05-30,5.55,1.56
1996-05-31,9.983,1.83
1996-06-01,11.887,1.83
1996-06-02,10.987,1.92
1996-06-03,8.367,1.92
1996-06-04,4.442,1.6
1996-06-05,10.033,2.01
1996-06-06,8.188,2.01
1996-06-07,7.55,1.66
1996-06-08,9.474,2.96
1996-06-09,10.425,2.96
1996-06-10,10.925,2.96
1996-06-11,10.587,3.3
1996-06-12,8.042,3.55
1996-06-13,8.53,2.97
1996-06-14,16.788,3.3
1996-06-15,13.25,3.29
1996-06-16,9.571,3.29
1996-06-17,8.17,3.29
1996-06-18,12.365,3.53
1996-06-19,13.246,4.16
1996-06-20,11.271,3.22
1996-06-21,16.571,3.22
1996-06-22,9.9,3.44
1996-06-23,6.546,3.27
1996-06-24,5.446,3.7
1996-06-25,12.904,3.18
1996-06-26,12.129,3.18
1996-06-27,15.761,6.19
1996-06-28,19.717,11.19
1996-06-29,21.508,11.41
1996-06-30,15.9,3.89
1996-07-01,16.221,4.54
1996-07-02,12.683,4.6
1996-07-03,11.913,4.72
1996-07-04,14.604,5.04
1996-07-05,19.287,5.18
1996-07-06,9.174,5.18
1996-07-07,10.429,5.01
1996-07-08,8.722,5.01
1996-07-09,8.508,4.84
1996-07-10,13.561,5.28
1996-07-11,15.767,5.28
1996-07-12,10.804,5.28
1996-07-13,7.479,5.28
1996-07-14,8.25,5.28
1996-07-15,11.296,5.28
1996-07-16,15.55,5.58
1996-07-17,19.708,7.06
1996-07-18,18.083,7.06
1996-07-19,8.675,5.75
1996-07-20,10.996,6.46
1996-07-21,13.204,6.5
1996-07-22,16.467,6.35
1996-07-23,14.565,6.41
1996-07-24,13.546,6.43
1996-07-25,12.108,6.52
1996-07-26,10.767,6.49
1996-07-27,11.408,6.56
1996-07-28,10.058,6.56
1996-07-29,7.871,6.56
1996-07-30,7.154,6.56
1996-07-31,8.562,9.36
1996-08-01,12.271,9.57
1996-08-02,14.092,10.04
1996-08-03,16.425,10.08
1996-08-04,18.242,9.32
1996-08-05,16.775,9.32
1996-08-06,20.275,12.13
1996-08-07,19.475,9.35
1996-08-08,17.457,8.45
1996-08-09,13.121,9.65
1996-08-10,11.704,10.3
1996-08-11,15.538,10.03
1996-08-12,18.113,10.15
1996-08-13,13.7,11.63
1996-08-14,13.313,11.63
1996-08-15,11.175,9.88
1996-08-16,15.874,11.31
1996-08-17,19.175,11.51
1996-08-18,18.504,13.06
1996-08-19,17.077,12.9
1996-08-20,17.088,11.15
1996-08-21,15.462,11.81
1996-08-22,17.513,11.84
1996-08-23,16.492,12.6
1996-08-24,19.317,13.07
1996-08-25,17.338,11.92
1996-08-26,12.217,12.54
